annee,zone,ca_ttc,ca_ht,nb_transactions,nb_clients,qte_totale
2026,GABES,18200.057,15281.046,81,3,1929
2026,MONASTIR,16483.437,13811.039,25,2,2081
2026,NABEUL 2,14760.217,12379.228,71,2,1153
2026,DJERBA,14663.352,12275.527,75,1,1624
2026,GAFSA,14394.715,12069.297,48,1,1495
2026,SIDI BOUZID PERI,12735.669,10697.831,38,3,1456
2026,TUNIS 1C,11184.827,9387.291,44,2,1076
2026,TUNIS 1B,11142.443,9356.955,98,2,1170
2026,BEN AROUS 1,10861.577,9115.806,42,1,1273
2026,BEJA PERI,10773.893,8919.664,38,2,1103
2026,JENDOUBA,10341.124,8683.42,21,1,1122
2026,MONASTIR 2,7250.648,6086.385,25,1,715
2026,MANOUBA 2,6284.414,5277.588,39,2,710
2026,TUNIS 1D,4714.752,3957.042,25,1,554
2026,GAFSA PERI,4271.983,3589.9,7,1,488
2026,KAIROUAN PERI,3884.295,3257.87,13,1,460
2026,BEN AROUS 2,3608.804,3032.608,7,1,340
2026,MONASTIR 1,3300.041,2757.318,24,2,392
2026,ARIANA 3,2720.198,2278.857,27,1,240
2026,BIZERTE 1,2424.03,2037.0,1,1,120
2026,MANOUBA 3,1809.591,1520.2949999999998,16,1,200
2026,TUNIS 1A,1484.026,1244.729,39,3,118
2026,SOUSSE 2B,1069.114,898.415,1,1,133
2026,SOUSSE 2A,947.634,796.332,5,1,100
2026,BEN AROUS 3,848.924,712.385,12,3,81
2026,BIZERTE,839.7259999999999,705.652,15,2,185
2026,NABEUL 3,402.526,338.25800000000004,4,1,18
2026,ARIANA 1,339.987,285.036,5,1,38
